,Region(regional designation),PSGC,Islandgroup,Regionalcenter,Area(km2),Area(sq mi),Population(2020 estimate),Density,shortname
1,National Capital Region(NCR),13,Luzon,Manila,619.57 km2( sq mi),239.22,"13,894,656(12.77%)","21,000/km2(54,000/sq mi)",NCR
2,Cordillera Administrative Region(CAR),14,Luzon,Baguio,"19,422.03 km2( sq mi)",7498.89,"1,807,738(1.66%)",89/km2(230/sq mi),CAR
3,Ilocos Region(Region I),1,Luzon,San Fernando(La Union),"13,012.60 km2( sq mi)",5024.19,"5,220,807(4.80%)","390/km2(1,000/sq mi)",Region I
4,Cagayan Valley(Region II),2,Luzon,Tuguegarao,"28,228.83 km2( sq mi)",10899.21,"3,657,741(3.36%)",120/km2(310/sq mi),Region II
5,Central Luzon(Region III),3,Luzon,San Fernando(Pampanga),"22,014.63 km2( sq mi)",8499.9,"12,313,718(11.32%)","510/km2(1,300/sq mi)",Region III
6,Calabarzon(Region IV-A),4,Luzon,Calamba,"16,873.31 km2( sq mi)",6514.82,"16,057,099(14.76%)","850/km2(2,200/sq mi)",Region IV-A
7,Southwestern Tagalog Region(Mimaropa),17,Luzon,Calapan,"29,620.90 km2( sq mi)",11436.69,"3,174,859(2.92%)",100/km2(260/sq mi),Mimaropa
8,Bicol Region(Region V),5,Luzon,Legazpi,"18,155.82 km2( sq mi)",7010,"6,139,836(5.64%)",320/km2(830/sq mi),Region V
9,Western Visayas(Region VI),6,Visayas,Iloilo City,"20,794.18 km2( sq mi)",8028.68,"7,984,899(7.34%)",360/km2(930/sq mi),Region VI
10,Central Visayas(Region VII),7,Visayas,Cebu City,"15,487.69 km2( sq mi)",5979.83,"7,357,649(6.76%)","480/km2(1,200/sq mi)",Region VII
11,Eastern Visayas(Region VIII),8,Visayas,Tacloban,"23,251.10 km2( sq mi)",8977.3,"4,792,337(4.41%)",190/km2(490/sq mi),Region VIII
12,Zamboanga Peninsula(Region IX),9,Mindanao,Pagadian,"17,056.73 km2( sq mi)",6585.64,"3,782,981(3.48%)",210/km2(540/sq mi),Region IX
13,Northern Mindanao(Region X),10,Mindanao,Cagayan de Oro,"20,496.02 km2( sq mi)",7913.56,"5,017,057(4.61%)",230/km2(600/sq mi),Region X
14,Davao Region(Region XI),11,Mindanao,Davao City,"20,357.42 km2( sq mi)",7860.04,"5,290,869(4.86%)",240/km2(620/sq mi),Region XI
15,Soccsksargen(Region XII),12,Mindanao,Koronadal,"22,513.30 km2( sq mi)",8692.43,"4,919,936(4.5%)",200/km2(520/sq mi),Region XII
16,Caraga(Region XIII),16,Mindanao,Butuan,"21,478.35 km2( sq mi)",8292.84,"2,753,109(2.53%)",120/km2(310/sq mi),Region XIII
17,Bangsamoro(BARMM)[f],–,Mindanao,Cotabato City,"12,535.79 km2( sq mi)",4840.1,"4,183,316(3.85%)",300/km2(780/sq mi),BARMM
